종목코드,기업,현재가,시총(억),네이버업종,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
263750,펄어비스,35300.0,22184.0,,컨센서스 없음 → 산출불가,1,K컬처,6.12,엔터·게임·콘텐츠,게임,펄어비스,,보류,컨센서스 없음,,2026-09-13
336260,두산퓨얼셀,48800.0,31961.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,6.09,2차전지·에너지,수소,두산퓨얼셀,,보류,컨센서스 없음,,2026-09-13
036930,주성엔지니어링,209000.0,97146.0,,컨센서스 없음 → 산출불가,1,코스닥,6.03,반도체,전공정 장비,주성엔지니어링,,보류,컨센서스 없음,,2026-09-13
122870,와이지엔터테인먼트,43400.0,8112.0,,컨센서스 없음 → 산출불가,1,K컬처,5.35,엔터·게임·콘텐츠,엔터,와이지엔터테인먼트,,보류,컨센서스 없음,,2026-09-13
041510,에스엠,84000.0,19232.0,,컨센서스 없음 → 산출불가,1,K컬처,5.02,엔터·게임·콘텐츠,엔터,에스엠,,보류,컨센서스 없음,,2026-09-13
022100,포스코DX,22150.0,33676.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,4.98,로봇·산업재,산업자동화·IT,포스코DX,,보류,컨센서스 없음,,2026-09-13
475830,오름테라퓨틱,51000.0,11077.0,,컨센서스 없음 → 산출불가,1,K바이오,4.85,바이오·헬스케어,신약·플랫폼,오름테라퓨틱,,보류,컨센서스 없음,,2026-09-13
058610,에스피지,96800.0,21468.0,,컨센서스 없음 → 산출불가,1,코스닥,4.55,로봇·산업재,로봇,에스피지,,보류,컨센서스 없음,,2026-09-13
352820,하이브,173000.0,74575.0,,컨센서스 없음 → 산출불가,1,K컬처,4.36,엔터·게임·콘텐츠,엔터,하이브,,보류,컨센서스 없음,,2026-09-13
403870,HPSP,53300.0,43866.0,,컨센서스 없음 → 산출불가,1,코스닥,4.32,반도체,전공정 장비,HPSP,,보류,컨센서스 없음,,2026-09-13
068760,셀트리온제약,39400.0,17495.0,,컨센서스 없음 → 산출불가,1,K바이오,4.27,바이오·헬스케어,바이오시밀러·CDMO,셀트리온제약,,보류,컨센서스 없음,,2026-09-13
178320,서진시스템,35750.0,22781.0,,컨센서스 없음 → 산출불가,1,K이노베이션,4.15,AI·전력인프라,ESS·함체,서진시스템,,보류,컨센서스 없음,,2026-09-13
100090,SK오션플랜트,12480.0,7797.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,4.04,2차전지·에너지,풍력,SK오션플랜트,,보류,컨센서스 없음,,2026-09-13
119850,지엔씨에너지,50600.0,8323.0,,컨센서스 없음 → 산출불가,1,코스닥,3.98,AI·전력인프라,발전설비,지엔씨에너지,,보류,컨센서스 없음,,2026-09-13
131290,티에스이,260500.0,28815.0,,컨센서스 없음 → 산출불가,1,코스닥,3.98,반도체,테스트·후공정,티에스이,,보류,컨센서스 없음,,2026-09-13
039030,이오테크닉스,445500.0,54884.0,,컨센서스 없음 → 산출불가,1,코스닥,3.9,미분류,-,이오테크닉스,,보류,컨센서스 없음,,2026-09-13
035900,JYP Ent.,39350.0,13982.0,,컨센서스 없음 → 산출불가,1,K컬처,3.88,엔터·게임·콘텐츠,엔터,JYP Ent.,,보류,컨센서스 없음,,2026-09-13
237690,에스티팜,90000.0,18789.0,,컨센서스 없음 → 산출불가,1,K바이오,3.86,바이오·헬스케어,바이오시밀러·CDMO,에스티팜,,보류,컨센서스 없음,,2026-09-13
009540,HD한국조선해양,365500.0,258676.0,,컨센서스 없음 → 산출불가,1,K신재생에너지,3.79,조선·방산·우주,조선,HD한국조선해양,,보류,컨센서스 없음,,2026-09-13
222800,심텍,131200.0,49822.0,,컨센서스 없음 → 산출불가,1,코스닥,3.44,반도체,기판·PCB,심텍,,보류,컨센서스 없음,,2026-09-13
