종목코드,현재가,시총(억),네이버업종,배당수익률(사이트),52주고가,52주저가,추정PER(사이트),목표주가,외인비율,기업,순이익(E),당기순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),부채비율,매출증가율1y,영익증가율1y,배당수익률,괴리율(목표주가),추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
068270,181300.0,418013.0,261,0.4,258500.0,145200.0,26.4,276200.0,25.32,셀트리온,16084.0,16084.0,18570.0,22.510123855681208,25.98936831633922,26.49,0.7855692804935153,0.44108317905072447,1.048391190999137,0.27566766239817236,0.7113396447682081,0.6219676957432426,33.52227597660481,8.93,28.71,33.08348348348349,58.921694480102694,0.4,52.344180915609485,2026.12(E),28.072072072072075,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코스피",9.42,바이오·헬스케어,바이오시밀러·CDMO,셀트리온,0.44108317905072447,탈락,ROE<10,,2026-09-18
207940,1404000.0,646685.0,261,,1987000.0,982000.0,34.5,1997143.0,13.2,삼성바이오로직스,18765.0,18765.0,24162.0,26.764547636785036,34.462296829203304,34.48,1.6740719182462374,2.0550254927662093,1.3593133973951552,0.9784142794948606,2.435793207402732,1.1699659381536296,43.97008243708031,21.05,48.44,20.585911784068458,16.76976609317611,,42.24665242165242,2026.12(E),45.40706605222734,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코스피",8.03,바이오·헬스케어,바이오시밀러·CDMO,삼성바이오로직스,2.0550254927662093,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-09-18
196170,254500.0,177272.0,286,0.11,569000.0,250500.0,56.26,447500.0,15.27,알테오젠,3249.0,3249.0,3164.0,56.02781289506953,54.562019082794706,56.15,0.4070469910150442,0.27840953889979736,0.4487060760682173,0.215710966340275,0.7408316889135242,,62.61626756382347,53.22,53.76,134.04353867531262,195.97754911131898,0.11,75.83497053045187,2026.12(E),49.51366373320982,2025.12,순이익=당기순이익 대체;,3,"K바이오,K이노베이션,코스닥",7.33,바이오·헬스케어,신약·플랫폼,알테오젠,0.215710966340275,탈락,fPER>30,기저효과,2026-09-18
402340,1019000.0,1407629.0,278,,2338000.0,193600.0,3.06,1956000.0,46.5,SK스퀘어,459158.0,459158.0,496238.0,2.8366005827848735,3.0656745608265563,2.89,0.12127683291024642,0.006606011154893781,0.06227197702655823,0.01198608234721634,0.03873748396567079,,378.84812117325515,97.48,9.01,25.278319752094582,464.0734762543479,,91.95289499509323,2026.12(E),84.14055625693409,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",5.89,반도체,지주(하이닉스),SK스퀘어,0.01198608234721634,통과,,기저효과,2026-09-18
105560,179700.0,621058.0,301,2.49,195900.0,109200.0,9.51,226278.0,78.99,KB금융,67343.0,67343.0,94483.0,6.57322481292931,9.22230966841394,9.73,,0.8441098975139627,,1.1019394173644066,,0.6608911834964449,,11.02,1211.73,,10.92548457917044,2.49,25.91986644407345,2026.12(E),10.4858138610156,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",5.02,금융,은행,KB금융,0.8441098975139627,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-18
055550,114100.0,519681.0,301,2.34,116500.0,68100.0,8.89,137556.0,61.8,신한지주,59921.0,59921.0,80830.0,6.429308425089695,8.672769146042288,9.1,,0.5748615215205115,,0.7306445873156993,,0.8821566664794109,,9.91,1201.94,,15.086710140387849,2.34,20.55740578439964,2026.12(E),10.858353173989672,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,코리아밸류업,코스피",4.33,금융,은행,신한지주,0.5748615215205115,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-18
278470,355000.0,137398.0,266,1.39,475000.0,204000.0,23.34,536000.0,37.94,에이피알,5910.0,5910.0,7657.0,17.944103434765573,23.24839255499154,22.45,0.22835725737499893,0.21232602395925554,0.2182935181689432,0.15518750724963676,0.28866888822439996,0.24623558824356412,24.84264486405814,90.3,73.11,101.80711058731093,109.49384404924763,1.39,50.985915492957744,2026.12(E),23.93112027761409,2025.12,순이익=당기순이익 대체;,3,"K컬처,코리아밸류업,코스피",3.66,화장품·뷰티,브랜드·디바이스,에이피알,0.21232602395925554,통과,,,2026-09-18
010120,203000.0,312750.0,306,0.29,920000.0,146500.0,57.84,297500.0,18.66,LS ELECTRIC,5359.0,5359.0,7200.0,43.4375,58.3597686135473,56.04,1.839201237425609,0.8475683016626897,2.9355876606571765,1.624464925230686,3.7322606202313398,1.9213103891254824,11.006649850951616,23.77,131.48,31.731040315759795,68.85553470919325,0.29,46.551724137931025,2026.12(E),8.586733255467397,2025.12,순이익=당기순이익 대체;,3,"K신재생에너지,K이노베이션,코스피",2.8,AI·전력인프라,변압기·전력기기,LS ELECTRIC,0.8475683016626897,탈락,"PEG매출>1,fPER>30",,2026-09-18
078930,114200.0,105715.0,313,2.64,133200.0,44000.0,4.27,145600.0,20.14,GS,29960.0,29960.0,51915.0,2.0363093518250985,3.5285380507343125,4.27,0.25555922904491546,0.04593482562188976,0.5394395663818605,0.11805923366041314,1.059557305430919,0.3007462246602906,18.113274694448613,15.97,86.04,13.807124336386845,76.81618473485234,2.64,27.49562171628721,2026.12(E),11.658546463840281,2025.12,순이익=당기순이익 대체;,3,"Korea플러스배당,K신재생에너지,코스피",2.51,지주·소재,지주,GS,0.04593482562188976,통과,,,2026-09-18
062040,203000.0,64503.0,306,0.59,348500.0,105000.0,30.14,285000.0,16.92,산일전기,2131.0,2131.0,2554.0,25.255677368833204,30.26888784608165,28.79,0.8288027719557219,0.7039092928789301,0.7001747072882146,0.5718418911075758,0.6402680774323886,0.3966539854409869,37.273788674839466,31.82,16.48,36.52121936640764,43.00111982082866,0.59,40.39408866995073,2026.12(E),35.584777844192075,2025.12,순이익=당기순이익 대체;,3,"K이노베이션,코리아밸류업,코스피",2.5,미분류,306,산일전기,0.7039092928789301,탈락,fPER>30,,2026-09-18
