종목코드,기업,현재가,시총(억),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,비고,탈락조건,1차결과,보유ETF수,보유ETF,최대비중,기준일
100090,SK오션플랜트,13030.0,8141.0,1.2545846817691477,22.243169398907103,22.26,,,,1.2644300611692507,,,8.907381722915703,4.41,-32.784338098197644,-2.857142857142858,,2026.12(E),,ROE<15%,통과,1,K신재생에너지,4.34,2026-08-22
352820,하이브,167900.0,,,,38.42,,,,,,,5.848157429850869,5.6,83.71259292803501,477.4847870182556,0.15,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,K컬처,4.21,2026-08-22
068760,셀트리온제약,41550.0,,,,,,,,,,,,,,,0.34,2026.12(E),,,통과,1,K바이오,4.02,2026-08-22
009540,HD한국조선해양,348500.0,,,,6.45,,,,,,,17.68183128572635,26.64,14.72512127002792,55.515430913049045,3.02,2026.12(E),,,통과,1,K신재생에너지,3.94,2026-08-22
009420,한올바이오파마,56500.0,,,,-1017.79,,,,,,,1.5854374633000587,-1.81,9.72938144329898,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,K바이오,3.9,2026-08-22
475830,오름테라퓨틱,62000.0,,,,,,,,,,,,,,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,1,K바이오,3.59,2026-08-22
000100,유한양행,82300.0,,,,38.96,,,,,,,5.539930111650899,6.99,7.31729625903228,24.521072796934874,0.53,2026.12(E),,ROE<15%,통과,1,K바이오,3.52,2026-08-22
122870,와이지엔터테인먼트,39100.0,7308.0,1.1543200126362343,12.0,14.9,0.7462713797035345,1.4026229508196737,0.37831924677780193,,3.323923917430558,,12.225556784078345,9.18,16.079941327466084,8.555399719495082,0.43,2026.12(E),,"PEG1y≥1.0,ROE<15%",탈락,1,K컬처,3.49,2026-08-22
006730,서부T&D,10200.0,6556.0,2.1362007168458783,11.644760213143872,14.81,0.4934119387241678,0.5116416518650088,0.38494529774591746,0.3416246689406889,0.5303973807858379,0.3596273533200022,28.119908765070058,4.12,23.600483286347163,22.759601706970134,0.76,2026.12(E),,ROE<15%,통과,1,K컬처,3.48,2026-08-22
277810,레인보우로보틱스,454000.0,,,,880.75,,,,,,,16.901408450704224,7.22,108.21114369501466,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,코스닥,3.47,2026-08-22
058610,에스피지,95500.0,,,,122.42,,,,,,,6.2154696132596685,6.5,5.9408838162130495,25.698324022346377,0.31,2026.12(E),,ROE<15%,통과,1,코스닥,3.23,2026-08-22
000270,기아,130900.0,,,,5.98,,,,,,,8.151437782978075,13.3,10.218861074338825,12.963064958526571,5.58,2026.12(E),,ROE<15%,통과,1,K신재생에너지,3.13,2026-08-22
108490,로보티즈,254000.0,,,,-5791.51,,,,,,,-0.764525993883792,-0.2,68.12339331619538,,,2026.12(E),,ROE<15%,통과,1,코스닥,2.69,2026-08-22
475150,SK이터닉스,51300.0,,,,59.82,,,,,,,11.873873873873872,10.13,43.93153526970954,24.33962264150944,,2026.12(E),,ROE<15%,통과,1,K신재생에너지,2.67,2026-08-22
403870,HPSP,44900.0,,,,30.81,,,,,,,55.75221238938053,34.6,43.69942196531791,54.17130144605118,1.49,2026.12(E),,,통과,1,코스닥,2.55,2026-08-22
096770,SK이노베이션,124800.0,,,,7.48,,,,,,,8.121409648667168,11.95,29.231307622661618,1778.1814129708046,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,K이노베이션,2.5,2026-08-22
086520,에코프로,81700.0,,,,,,,,,,,,,,,0.17,2026.12(E),,,통과,1,코스닥,2.45,2026-08-22
456160,지투지바이오,37400.0,6219.0,,,,,,,,,,,,,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,기저효과미보완,통과,1,K바이오,2.4,2026-08-22
035900,JYP Ent.,38800.0,,,,11.43,,,,,,,18.55357359543745,18.08,0.2676724662367791,-1.4819587628865927,1.21,2026.12(E),,,통과,1,K컬처,2.3,2026-08-22
214150,클래시스,32150.0,,,,13.57,,,,,,,43.907420013614704,26.09,30.84916864608076,13.423212192262612,1.83,2026.12(E),,,통과,1,K컬처,2.25,2026-08-22
0126Z0,삼성에피스홀딩스,360000.0,,,,37.86,,,,,,,13.285245195672069,3.93,638.0611839491457,,,2026.12(E),기저효과→PEG(영익)1y 산출불가,"ROE<15%,기저효과미보완",탈락,1,K바이오,2.19,2026-08-22
024110,기업은행,20000.0,,,,5.71,,,,,,,,7.51,,1.6276397855345293,5.0,2026.12(E),,ROE<15%,통과,1,Korea플러스배당,2.1,2026-08-22
240810,원익IPS,107900.0,,,,24.31,,,,,,,14.746211210007218,20.28,37.07408221587163,149.18699186991867,0.29,2026.12(E),,,통과,1,코스닥,2.06,2026-08-22
089970,브이엠,58100.0,,,,19.06,,,,,,,29.665379665379664,37.15,115.23545706371192,273.2793522267206,,2026.12(E),,,통과,1,코스닥,1.89,2026-08-22
001040,CJ,121300.0,,,,12.31,,,,,,,5.333704725971319,6.6,5.265355806907346,-0.003956165684215751,1.92,2026.12(E),,ROE<15%,통과,1,K컬처,1.88,2026-08-22
420770,기가비스,105300.0,,,,48.74,,,,,,,32.30134158926729,12.32,84.92366412213741,158.67768595041323,2.54,2026.12(E),,ROE<15%,통과,1,코스닥,1.88,2026-08-22
