종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
ETN,Eaton Corporation,419.21,388.4,30030.0,162820.0,19.68,10.61,9.68,1.05,1.05,27.94,2.61,,FY 2026,FY 2025,32750.0,6640.0,4290.0,5251.130459674149,13.52,24.521084337349397,31.006656804733726,1.6059108099810209,1.226382694515588,2.0503672084301265,2.04385055081987,,20.27480916030534,19.30783242258652,19.307832422586515,25.283018867924522,477.37,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Eaton Corp PLC,1,미국S&P500,0.56,1.226382694515588,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-23
GRND,Grindr,15.53,173.82,509.82,2700.0,108.65,32.25,5.29,,,26.64,,-1.58,FY 2026,FY 2025,542.58,149.36,91.22,104.31423052157116,0.6,18.077129084092125,25.883333333333333,1.108889592260745,1.995355976676385,1.2814087998694652,0.9245364893312304,,27.5277378451104,30.054557854057744,23.34166856103661,12.971787308070493,20.8,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Grindr Inc,1,글로벌소비트렌드,0.55,1.995355976676385,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
CEG,Constellation Energy Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실패: forecast 표 없음,미분류,Stock Lists Top Stocks Corporate Actions,Constellation Energy Corp,1,미국S&P500,0.54,,보류,컨센서스 없음,,2026-08-23
DUOL,Duolingo,146.13,46.79,1150.0,6840.0,34.42,78.85,8.98,,0.06,55.41,,-56.88,FY 2026,FY 2025,1210.0,131.64,139.14,310.3346335454732,6.63,51.95989061075662,22.040723981900452,1.3483737024221447,,1.535470824300773,,,10.879338842975205,13.580769230769233,16.346153846153854,-6.79694137638065,127.07,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Duolingo Inc,1,글로벌소비트렌드,0.54,,탈락,"PEG매출>1,PEG영익>1",비지배괴리,2026-08-23
CRWD,CrowdStrike,191.7,1020.0,5090.0,195450.0,-0.25,-31.88,11.0,,0.18,147.05,5.19,,FY 2027,FY 2026,5950.0,1470.0,175.09,1254.0610328638497,1.23,132.9591836734694,155.85365853658536,6.575930680359438,,6.869888302701398,5.207328808186261,,24.705882352941178,-5.166735966735967,23.70062370062369,,209.74,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Crowdstrike Holdings Inc,1,미국S&P500,0.53,5.207328808186261,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30,전년이익률<5",기저효과,2026-08-23
LRN,Stride,84.31,41.16,2520.0,3470.0,21.74,26.56,4.38,,0.33,9.67,,-48.35,FY 2027,FY 2026,2570.0,467.2,344.94,359.30613213141976,8.73,7.427226027397261,9.65750286368843,4.867381443298986,2.649612030349862,3.0896578556306107,1.7406051197031969,,18.17898832684825,17.88769841269841,1.984126984126977,3.644874326153036,109.0,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Stride Inc,1,글로벌소비트렌드,0.52,2.649612030349862,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
VZ,Verizon,49.35,4150.0,138900.0,205450.0,15.84,8.27,4.26,5.72,1.84,9.75,1.34,,FY 2026,FY 2025,140910.0,32530.0,18710.0,20857.23404255319,5.01,6.315708576698432,9.850299401197605,5.004459096512866,3.5427497278171036,5.090308692508582,1.6757368640976098,,23.08565751188702,22.903249149721397,1.9683045082856898,2.7804107424960423,51.56,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Verizon Communications Inc,1,미국S&P500,0.52,3.5427497278171036,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
MSGE,MSGE,79.9,47.31,1060.0,3780.0,407.54,11.27,6.12,,25.67,33.2,1.07,,FY 2027,FY 2026,1130.0,189.18,116.07,130.5732165206508,2.76,19.980970504281636,28.949275362318843,4.383747412008276,2.242464672656739,5.2552384366504015,1.0525908626217244,,16.741592920353984,15.806603773584907,6.60377358490567,12.90957923008056,91.63,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Madison Square Garden Entertainment Corp,1,글로벌소비트렌드,0.49,2.242464672656739,탈락,"PEG매출>1,PEG영익>1",,2026-08-23
PANW,Palo Alto Networks,357.87,815.0,10610.0,291660.0,4.83,3.65,9.1,,0.08,91.43,5.37,,FY 2026,FY 2025,11420.0,3330.0,904.57,3080.657221896219,3.78,87.58558558558559,94.67460317460318,3.9677265512265514,0.44823816547267875,4.20425515738148,8.556587742324236,,29.15936952714536,11.605206073752711,23.86117136659436,211.21495327102804,359.15,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Palo Alto Networks Inc,1,미국S&P500,0.47,8.556587742324236,탈락,"PEG매출>1,PEG영익>1,ROE<10,fPER>30",기저효과,2026-08-23
WFC,Wells Fargo & Company,83.95,3020.0,83030.0,253530.0,12.58,,3.22,2.39,,11.28,0.84,,FY 2026,FY 2025,88930.0,33040.0,22370.0,21744.08576533651,7.2,7.673426150121065,11.659722222222223,1.8660014340344158,0.8050229266347688,2.169151019519571,0.9804713527730229,,37.15281682221973,34.48028673835125,6.24850657108722,14.483714483714483,100.24,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Wells Fargo & Co,1,미국S&P500,0.47,0.8050229266347688,탈락,PEG매출>1,,2026-08-23
