종목코드,기업,현재가,주식수(M),TTM매출($M),영업이익률TTM,시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
BIIB,Biogen,220.01,147.75,10030.0,25.09,32659.999999999996,4.58,8.86,4.67,,0.44,16.73,4.16,,FY 2026,FY 2025,10440.0,2510.0,953.07,1842.23717103768,12.41,13.011952191235059,17.728444802578565,3.1878967108636744,,4.641119105354466,4.386737894106115,,24.042145593869733,28.816986855409503,5.56117290192113,-11.929824561403512,236.22,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Biogen Inc,1,글로벌바이오,4.21,,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-27
LMT,Lockheed Martin,565.0,230.79,77010.0,10.89,130539.99999999999,89.16,27.42,4.82,2.44,2.34,18.27,0.95,,FY 2026,FY 2025,80960.0,9680.0,7040.0,7042.228672566372,30.48,13.485537190082644,18.536745406824146,2.353947111306517,0.4816797412405232,2.7727769732569967,0.792425703364594,,11.956521739130435,9.313790806129248,7.874750166555633,38.48354792560802,632.95,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Lockheed Martin Corp,1,글로벌우주테크&방산,4.15,0.4816797412405232,탈락,PEG매출>1,,2026-08-27
NVS,Novartis AG,157.54,1900.0,56690.0,32.75,300070.0,30.35,18.78,6.32,1.96,1.17,17.1,,,FY 2026,FY 2025,57650.0,21800.0,13950.0,16742.51174304938,8.79,13.764678899082568,17.922639362912403,10.36404053771677,1.221180553007043,4.4657640050314935,3.919641187274073,,37.8143972246314,33.545085583200986,1.729310040585852,14.676486059968429,157.15,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Novartis AG,1,글로벌바이오,4.02,1.221180553007043,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
NOC,Northrop Grumman,548.44,142.06,42890.0,13.36,78130.0,26.96,15.02,3.59,1.8,0.95,18.79,3.34,-6.27,FY 2026,FY 2025,44060.0,4640.0,4140.0,4129.875100284443,28.99,16.838362068965516,18.918247671610903,3.7612345489292713,,3.2287387887118153,2.521935743615725,,10.53109396277803,12.753277711561385,5.029797377830758,-13.271028037383182,647.14,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Northrop Grumman Corp,1,글로벌우주테크&방산,3.97,,탈락,"PEG매출>1,PEG영익>1",,2026-08-27
GILD,Gilead Sciences,148.09,1240.0,30460.0,38.88,183620.0,-20.68,34.37,5.71,2.22,2.23,16.21,2.61,,FY 2026,FY 2025,30690.0,3210.0,-4270.0,11327.57557063541,-0.42,57.202492211838006,16.21,3.8177791999999977,,3.0066672904693816,1.5956551245929778,,10.459433040078201,40.14945652173913,4.245923913043481,-72.84263959390863,157.41,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Gilead Sciences Inc,1,글로벌바이오,3.43,,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-27
LHX,L3Harris Technologies,262.98,186.21,22930.0,12.87,48970.0,9.34,8.1,6.55,1.9,0.53,21.21,1.03,-4.78,FY 2026,FY 2025,23620.0,3810.0,2280.0,2234.5425507643163,12.0,12.853018372703412,21.915000000000003,2.7387488571428547,0.6242454545454548,2.975629710604284,1.8260676616402398,,16.13039796782388,12.894375857338819,8.001828989483318,35.106382978723396,339.5,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,L3Harris Technologies Inc,1,글로벌우주테크&방산,3.4,0.6242454545454548,탈락,"PEG매출>1,ROE<10",,2026-08-27
NTRA,Natera,338.49,144.14,2710.0,-10.54,48790.0,-12.54,-10.18,12.52,,0.13,,,,FY 2026,FY 2025,2910.0,-221.97,-192.94,,-1.39,,,,,,,,-7.627835051546391,-13.416017316017317,25.974025974025984,,336.74,USD,,기저효과→PEG(영익)1y 산출불가,미분류,Stock Lists Top Stocks Corporate Actions,Natera Inc,1,글로벌바이오,3.37,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-27
BRK-B,Berkshire Hathaway Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실패: 404,미분류,,Berkshire Hathaway Inc,1,미국S&P500,3.3,,보류,컨센서스 없음,,2026-08-27
GOOG,Alphabet,339.1,12230.0,445870.0,33.11,4170000.0,48.68,24.93,10.78,0.26,0.19,25.18,,,FY 2026,FY 2025,497860.0,171550.0,251890.0,253200.53081686815,20.59,24.30778198775867,16.469159786304033,0.6982147261960341,0.49992481270869715,0.7176775116092009,0.9660359834051653,,34.457478005865106,32.03256876179128,23.587528547314072,32.943273403595796,422.34,USD,,,인터넷·플랫폼,Stock Lists Top Analysts Top Stocks Corporate Actions,Alphabet Inc,1,글로벌AI인공지능,3.3,0.49992481270869715,통과,,비지배괴리,2026-08-27
RVTY,Revvity,125.61,111.59,2910.0,15.92,14100.0,3.21,4.39,8.69,0.22,0.46,22.37,2.18,,FY 2026,FY 2025,2850.0,818.28,283.13,600.54931932171,5.35,17.231265581463557,23.4785046728972,,0.2672398508052808,9.70863621836927,2.9756173200890217,,28.711578947368423,15.23041958041958,-0.34965034965035446,87.85555223949126,121.07,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Revvity Inc,1,글로벌바이오,3.28,0.2672398508052808,탈락,"PEG매출>1,ROE<10",,2026-08-27
