종목코드,기업,현재가,주식수(M),TTM매출($M),시총($M),ROE(E),ROIC,WACC,배당수익률,부채자본비율,fPER(사이트),PEG(사이트),52주변동,추정연도,전년도,매출(E),영업이익(E),순이익(E),"순이익(E,조정)",EPS(E),EPS(FY2),fPOR,fPER,PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,fwd기준,영업이익률(E),전년영업이익률,매출증가율1y,영익증가율1y,목표주가,통화,환율,비고,섹터1,섹터2,종목명,보유ETF수,보유ETF,최대비중,유효PEG,Type,탈락조건,플래그,기준일
ABBV,AbbVie,264.52,1770.0,64390.0,467440.0,,17.7,5.42,2.62,,17.43,1.29,,FY 2026,FY 2025,67580.0,31280.0,13860.0,24757.426281566615,14.01,16.28,14.94373401534527,18.880799428979298,1.7986755343868768,0.3924827597835068,1.9585899755502025,0.6842579194437528,,1.1652863436123333,16.202712348322645,eps,46.28588339745487,34.53237410071942,10.497056899934588,48.106060606060595,276.59,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,AbbVie Inc,1,글로벌바이오,2.56,0.3924827597835068,탈락,"PEG매출>1,ROE<10",,2026-08-25
TDY,Teledyne Technologies,625.21,46.36,6370.0,28980.0,9.15,8.08,8.83,,0.19,28.95,3.11,,FY 2026,FY 2025,6560.0,1290.0,979.96,1145.831960461285,24.72,26.73,22.46511627906977,25.291666666666668,3.517840909090911,2.2567948717948734,3.992200586453608,2.4669745904049147,,3.11049751243781,8.131067961165051,eps,19.664634146341463,18.954248366013072,7.189542483660127,11.206896551724132,757.25,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Teledyne Technologies Inc,1,글로벌우주테크&방산,2.56,2.2567948717948734,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-25
ROK,Rockwell Automation,429.69,111.05,8970.0,47720.0,30.63,21.36,12.02,1.29,1.03,29.7,2.06,,FY 2026,FY 2025,9050.0,1920.0,1440.0,1467.0604389210828,13.21,14.83,24.854166666666668,32.527630582891746,3.8208512543847526,0.9237847085541256,4.641105987237372,1.7418467112527565,,2.652407407407408,12.263436790310367,eps,21.215469613259668,17.026378896882495,8.513189448441238,35.2112676056338,477.79,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Rockwell Automation Inc,1,글로벌휴머노이드로봇,2.4,0.9237847085541256,탈락,"PEG매출>1,fPER>30",,2026-08-25
CW,Curtiss-Wright,614.97,36.93,3650.0,22710.0,19.75,16.5,8.78,0.17,0.41,38.18,2.63,,FY 2026,FY 2025,3800.0,729.07,576.7,564.6387628664812,15.29,17.13,31.14927236067867,40.22040549378679,4.692380640941797,4.694874170919087,4.8084854703486375,2.9169314836866183,,3.3422282608695637,12.03400915631132,eps,19.18605263157895,19.186857142857143,8.571428571428562,8.566876135449885,806.5,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Curtiss-Wright Corp,1,글로벌우주테크&방산,2.29,4.694874170919087,탈락,"PEG매출>1,PEG영익>1,fPER>30",,2026-08-25
AXON,Axon Enterprise,597.59,81.24,3220.0,48550.0,6.22,1.18,11.67,,0.5,66.51,2.26,-22.01,FY 2026,FY 2025,3710.0,186.44,291.87,626.3834736190365,7.71,10.56,260.40549238360865,77.50843060959792,2.316918678437444,,2.4791657217540477,3.2079417647398913,,2.0968070175438593,36.964980544747085,eps,5.025336927223719,-1.066546762589928,33.453237410071935,,693.4,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Stocks Corporate Actions,Axon Enterprise Inc,1,글로벌우주테크&방산,2.27,2.0968070175438593,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(fwd),2026-08-25
BAX,Baxter International,26.5,517.0,11470.0,13700.0,-14.37,6.8,5.4,0.15,1.56,12.57,,,FY 2026,FY 2025,11620.0,1580.0,372.0,1059.811320754717,2.05,2.04,8.670886075949367,12.926829268292684,3.8236200256739346,,4.750784701413858,,,,-0.4878048780487698,eps,13.59724612736661,9.252669039145907,3.380782918149472,51.92307692307692,28.73,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Stocks Corporate Actions,Baxter International Inc,1,글로벌바이오,2.27,,탈락,"PEG매출>1,FY2역성장,ROE<10",기저효과(fwd),2026-08-25
GPCR,Structure Therapeutics,49.01,71.31,,3490.0,-20.21,-15.65,-4.03,,0.0,,,,FY 2026,FY 2025,38.46,-445.89,-308.52,,-1.55,-2.11,,,,,,,,,,,-1159.3603744149766,,,,104.77,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Stocks Corporate Actions,Structure Therapeutics Inc,1,글로벌바이오,2.27,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-25
ILMN,Illumina,223.25,151.0,4490.0,33710.0,32.34,17.35,11.66,,0.89,39.13,3.62,,FY 2026,FY 2025,4620.0,1090.0,760.34,809.341993281075,5.36,6.1,30.926605504587155,41.651119402985074,6.455923507462693,,6.544494661919912,3.396086555215728,,3.0168918918918965,13.80597014925371,eps,23.593073593073594,20.023041474654377,6.451612903225801,25.43153049482163,198.89,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Illumina Inc,1,글로벌바이오,2.12,3.0168918918918965,탈락,"PEG매출>1,PEG영익>1,fPER>30",기저효과(fwd),2026-08-25
ICLR,ICLR,172.84,77.15,8290.0,13380.0,0.29,0.67,8.96,,0.38,15.6,2.44,-1.34,FY 2026,FY 2025,8119.999999999999,1160.0,453.54,819.7998148576719,10.59,11.88,11.53448275862069,16.32105760151086,,0.09510447634739476,15.922215669024668,,,1.3398449612403096,12.181303116147312,eps,14.285714285714288,5.176727272727272,-1.575757575757586,171.61187599512974,185.56,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,ICON PLC,1,글로벌바이오,2.11,1.3398449612403096,탈락,"PEG매출>1,PEG영익>1,ROE<10",기저효과(fwd),2026-08-25
CVX,Chevron,203.09,1960.0,209380.0,398380.0,12.23,8.22,6.57,3.51,0.19,13.07,0.97,,FY 2026,FY 2025,228310.0,45610.0,30480.0,31267.798512974543,15.94,13.24,8.734488050866037,12.74090338770389,0.5388474142325981,0.08027953063803417,1.7467120451632,0.36647632395680346,,,-16.938519447929735,eps,19.97722394989269,9.547793122122936,23.644733279176823,158.70674985819625,217.88,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Chevron Corp,1,미국S&P500,2.06,,탈락,FY2역성장,기저효과(fwd),2026-08-25
IBM,IBM,231.04,942.13,69100.0,217670.0,34.46,13.96,6.79,2.93,1.89,18.05,2.67,-4.56,FY 2026,FY 2025,70380.0,14970.0,9870.0,11607.0567867036,12.32,13.16,14.540414161656647,18.753246753246753,4.459839034205242,1.0070892511743574,4.567478202055487,2.859580699526605,,2.750476190476193,6.818181818181812,eps,21.270247229326515,18.68522357121706,4.204915605567061,18.621236133122032,244.91,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,International Business Machines Corp,1,글로벌AI인공지능,2.03,1.0070892511743574,탈락,"PEG매출>1,PEG영익>1",,2026-08-25
ROIV,Roivant Sciences,36.03,722.32,7.53,26260.0,-8.52,-118.82,10.4,,0.02,,,,FY 2027,FY 2026,48.09,-1390.0,-975.08,,-1.58,-1.72,,,,,,,,,,,-2890.413807444375,-15496.36803874092,482.20338983050857,,41.82,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Roivant Sciences Ltd,1,글로벌바이오,2.02,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-25
IONS,Ionis Pharmaceuticals,62.04,166.18,874.09,10310.0,-105.5,-72.03,5.88,,4.98,,,,FY 2026,FY 2025,913.4,-590.45,-602.43,,-2.59,-1.05,,,,,,,,,,,-64.6430917451281,-40.444628116688385,-3.2117917580612776,,88.0,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Stocks Corporate Actions,Ionis Pharmaceuticals Inc,1,글로벌바이오,1.96,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-25
CRM,Salesforce,209.06,819.0,42830.0,171220.0,16.91,11.07,8.7,0.84,1.24,15.0,0.93,-15.8,FY 2027,FY 2026,46110.0,15840.0,7100.0,11580.650530948054,14.14,15.52,10.809343434343434,14.785007072135784,1.3406579556895173,0.190581305033889,1.4347946928612687,1.3040142897824978,,1.5149275362318853,9.759547383309751,eps,34.35263500325309,21.4784493137491,11.028172405490011,77.57847533632287,243.98,USD,,,소프트웨어,Stock Lists Top Stocks Corporate Actions,Salesforce Inc,1,글로벌AI인공지능,1.93,0.190581305033889,탈락,PEG매출>1,,2026-08-25
BMY,BMY,67.26,2040.0,49190.0,137430.0,46.6,21.68,4.87,3.75,2.02,10.48,,,FY 2026,FY 2025,49850.0,17720.0,11180.0,14200.691347011596,6.95,6.56,7.755643340857787,9.67769784172662,2.809447343330158,,,2.950917179084389,,,-5.611510791366914,eps,35.54663991975928,31.209794563187383,3.4446980701390295,17.819148936170205,66.21,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Bristol-Myers Squibb Co,1,글로벌바이오,1.9,,탈락,"PEG매출>1,FY2역성장",기저효과(fwd),2026-08-25
UNH,UnitedHealth Group Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실패: forecast 표 없음,미분류,Stock Lists Top Stocks Corporate Actions,UnitedHealth Group Inc,1,미국S&P500,1.87,,보류,컨센서스 없음,,2026-08-25
BKNG,Booking Holdings,213.35,751.38,28240.0,160310.0,,92.45,9.43,0.79,,19.16,1.15,-6.76,FY 2026,FY 2025,29260.0,10370.0,8090.0,7852.07171314741,10.45,12.38,15.459016393442623,20.416267942583733,2.3487433034801484,2.201708895171815,2.257216316475624,1.236606127341522,,1.1054404145077708,18.468899521531124,eps,35.440874914559124,35.25260029717682,8.692421991084686,9.272918861959955,237.81,USD,,,미분류,Stock Lists Top Stocks Corporate Actions,Booking Holdings Inc,1,글로벌소비트렌드,1.77,2.201708895171815,탈락,"PEG매출>1,PEG영익>1,ROE<10",,2026-08-25
ALNY,Alnylam Pharmaceuticals,236.01,133.81,4800.0,31580.0,96.55,96.6,5.93,,2.21,28.78,,-48.06,FY 2026,FY 2025,5490.0,1210.0,914.91,1193.5663743061734,8.92,12.59,26.09917355371901,26.458520179372197,0.5514669093565779,,0.71955621529038,0.4607279035523264,,0.6430790190735695,41.143497757847534,eps,22.040072859744992,13.519676549865228,47.97843665768193,141.23768890306633,370.2,USD,,기저효과→PEG(영익)fwd 기준,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,Alnylam Pharmaceuticals Inc,1,글로벌바이오,1.73,0.6430790190735695,통과,,기저효과(fwd),2026-08-25
ATI,ATI Inc.,209.81,136.17,4720.0,28570.0,25.36,18.44,9.39,,1.1,38.22,1.19,,FY 2026,FY 2025,5150.0,988.65,666.13,698.5563128544874,5.13,6.22,28.89799221160168,40.89863547758285,3.3522274436090207,0.8138908859594591,3.804152453015383,1.060782557084152,,1.9248623853211009,21.247563352826514,eps,19.197087378640777,14.335511982570806,12.200435729847502,50.25075987841945,248.44,USD,,,미분류,Stock Lists Top Analysts Top Stocks Corporate Actions,ATI Inc,1,글로벌우주테크&방산,1.72,0.8138908859594591,탈락,"PEG매출>1,fPER>30",,2026-08-25
