종목코드,기업,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
178320,서진시스템,실패: 기업실적분석 표 없음,1,K이노베이션,4.15,AI·전력인프라,ESS·함체,서진시스템,,보류,컨센서스 없음,,2026-09-11
100090,SK오션플랜트,실패: 기업실적분석 표 없음,1,K신재생에너지,4.04,2차전지·에너지,풍력,SK오션플랜트,,보류,컨센서스 없음,,2026-09-11
119850,지엔씨에너지,실패: 기업실적분석 표 없음,1,코스닥,3.98,AI·전력인프라,발전설비,지엔씨에너지,,보류,컨센서스 없음,,2026-09-11
131290,티에스이,실패: 기업실적분석 표 없음,1,코스닥,3.98,반도체,테스트·후공정,티에스이,,보류,컨센서스 없음,,2026-09-11
039030,이오테크닉스,실패: 기업실적분석 표 없음,1,코스닥,3.9,미분류,-,이오테크닉스,,보류,컨센서스 없음,,2026-09-11
035900,JYP Ent.,실패: 기업실적분석 표 없음,1,K컬처,3.88,엔터·게임·콘텐츠,엔터,JYP Ent.,,보류,컨센서스 없음,,2026-09-11
237690,에스티팜,실패: 기업실적분석 표 없음,1,K바이오,3.86,바이오·헬스케어,바이오시밀러·CDMO,에스티팜,,보류,컨센서스 없음,,2026-09-11
009540,HD한국조선해양,실패: 기업실적분석 표 없음,1,K신재생에너지,3.79,조선·방산·우주,조선,HD한국조선해양,,보류,컨센서스 없음,,2026-09-11
222800,심텍,실패: 기업실적분석 표 없음,1,코스닥,3.44,반도체,기판·PCB,심텍,,보류,컨센서스 없음,,2026-09-11
000880,한화,실패: 기업실적분석 표 없음,1,K신재생에너지,3.25,미분류,-,한화,,보류,컨센서스 없음,,2026-09-11
277810,레인보우로보틱스,실패: 기업실적분석 표 없음,1,코스닥,3.15,로봇·산업재,로봇,레인보우로보틱스,,보류,컨센서스 없음,,2026-09-11
071050,한국금융지주,실패: 기업실적분석 표 없음,1,Korea플러스배당,2.93,금융,증권,한국금융지주,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
064290,인텍플러스,실패: 기업실적분석 표 없음,1,코스닥,2.92,반도체,검사·계측,인텍플러스,,보류,컨센서스 없음,,2026-09-11
086520,에코프로,실패: 기업실적분석 표 없음,1,코스닥,2.89,2차전지·에너지,소재,에코프로,,보류,컨센서스 없음,,2026-09-11
039490,키움증권,실패: 기업실적분석 표 없음,1,Korea플러스배당,2.8,금융,증권,키움증권,,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-09-11
080220,제주반도체,실패: 기업실적분석 표 없음,1,코스닥,2.8,반도체,메모리,제주반도체,,보류,컨센서스 없음,,2026-09-11
020150,롯데에너지머티리얼즈,실패: 기업실적분석 표 없음,1,K신재생에너지,2.61,미분류,-,롯데에너지머티리얼즈,,보류,컨센서스 없음,,2026-09-11
241710,코스메카코리아,실패: 기업실적분석 표 없음,1,K컬처,2.48,화장품·뷰티,ODM,코스메카코리아,,보류,컨센서스 없음,,2026-09-11
