종목코드,기업,현재가,시총(억),네이버업종,순이익(E),영업이익(E),fPOR,fPER,fPER(사이트),PEG(매출)1y,PEG(영익)1y,PEG(매출)2y,PEG(영익)2y,PEG(매출)3y,PEG(영익)3y,PEG(영익)fwd,영익증가율fwd,영업이익률(E),ROE(E),매출증가율1y,영익증가율1y,배당수익률,추정연도,전년영업이익률,전년도,비고,보유ETF수,보유ETF,최대비중,섹터1,섹터2,종목명,유효PEG,Type,탈락조건,플래그,기준일
004370,농심,459000.0,27919.32678,식품,2078.0,2320.0,12.034192577586207,13.435672175168431,13.21,1.9414877765293728,0.5136840151795165,2.964136636151613,0.6973737990763491,4.094310607576037,4.427718853926771,,,6.1743180306054555,7.11,6.920297071963133,26.155519303969555,1.39,2026.12(E),5.232905557294482,2025.12,,2,"Korea플러스배당,K컬처",5.23,소비재·식품,음식료,농심,0.5136840151795165,탈락,"PEG매출>1,ROE<10,이익률<10",,2026-08-26
259960,크래프톤,228000.0,104303.75964,게임엔터테인먼트,9370.0,14616.0,7.136272553366174,11.131671252934899,11.08,0.24185629671486664,0.2882424894178428,0.3284690057801257,0.9959731678103618,0.30509729655978446,0.46529113026175806,,,30.088313399345367,12.59,46.02597246437805,38.61911987860394,0.91,2026.12(E),31.696025972464376,2025.12,,2,"K이노베이션,K컬처",5.13,엔터·게임·콘텐츠,게임,크래프톤,0.2882424894178428,통과,,,2026-08-26
138040,메리츠금융지주,118000.0,197469.78214,증권,25551.0,32423.0,6.090422913980816,7.728456112872294,8.15,,0.600690905721002,,9.268921436517275,,2.278100866144984,,,,23.23,,12.865944929856932,,2026.12(E),14.139390658069598,2025.12,,2,"Korea플러스배당,코스피",4.23,금융,보험,메리츠금융지주,0.600690905721002,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
178320,서진시스템,37200.0,23678.074164,전기장비,120.0,898.0,26.367565884187083,197.31728470000002,199.67,2.6693659055520174,,8.358746571772421,,5.8826383365220485,8.818570293610462,,,4.842275545969264,1.66,73.91915971115071,8063.636363636364,,2026.12(E),0.10316046140860921,2025.12,기저효과→PEG(영익)fwd 기준,2,"K이노베이션,코스닥",4.22,AI·전력인프라,ESS·함체,서진시스템,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-26
141080,리가켐바이오,98300.0,36390.087894,제약,-829.0,-985.0,,,-44.23,,,,,,,,,-51.32881709223553,-16.85,35.522598870056484,,,2026.12(E),-75.21186440677965,2025.12,기저효과→PEG(영익)fwd 기준,2,"K바이오,코스닥",4.02,바이오·헬스케어,신약·플랫폼,리가켐바이오,,탈락,"PEG매출>1,PEG산출불가,ROE<10,이익률<10,fPER>30,전년이익률<5",기저효과(2y),2026-08-26
310210,보로노이,165800.0,30578.648194,제약,,,,,,,,,,,,,,,,,,,2026.12(E),-725.3333333333333,2025.12,기저효과→PEG(영익)fwd 기준,2,"K바이오,코스닥",4.01,바이오·헬스케어,신약·플랫폼,보로노이,,보류,컨센서스 없음,기저효과(2y),2026-08-26
086790,하나금융지주,133200.0,365457.840336,은행,44799.0,59861.0,6.1051075046524454,8.157723170963639,8.15,,0.6872034149167083,,0.7391130288615962,,0.9657180110806467,,,,9.6,,11.8709002223925,4.36,2026.12(E),7.761271532092899,2025.12,,2,"Korea플러스배당,코리아밸류업",3.66,금융,은행,하나금융지주,0.6872034149167083,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
483650,달바글로벌,231500.0,28923.413225,화장품,1306.0,1642.0,17.614746178440924,22.146564490811638,22.29,0.48769362567266134,0.35851296584009273,0.392949407462499,0.33705983921188176,0.39869887881092964,0.30858473032786954,,,21.728199020775442,54.15,45.410813931114106,61.77339901477832,1.78,2026.12(E),19.530498364441023,2025.12,,2,"K컬처,코스피",3.62,화장품·뷰티,브랜드·디바이스,달바글로벌,0.35851296584009273,통과,,,2026-08-26
347850,디앤디파마텍,56300.0,25806.573867,생물공학,,,,,,,,,,,,,,,,,,,2026.12(E),-790.6976744186046,2025.12,기저효과→PEG(영익)fwd 기준,2,"K바이오,코스닥",3.54,바이오·헬스케어,신약·플랫폼,디앤디파마텍,,보류,컨센서스 없음,기저효과(2y),2026-08-26
316140,우리금융지주,33000.0,240269.59506,은행,33404.0,43798.0,5.4858576889355675,7.192839033049934,7.41,,0.37492545927165827,,4.948540766281868,,0.9255548775077659,,,,8.58,,19.18471753564819,4.86,2026.12(E),8.844624582414726,2025.12,,2,"Korea플러스배당,코리아밸류업",3.39,금융,은행,우리금융지주,0.37492545927165827,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
012450,한화에어로스페이스,1087000.0,560494.16887,우주항공과국방,35811.0,46248.0,12.119316919001903,15.651452594733463,24.6,0.7479092598412849,0.314894382943081,0.2252185170403096,0.24681997027793903,0.26103860981636123,0.15943868069223083,,,14.322256975627884,21.39,20.926940519569026,49.703816398536894,0.74,2026.12(E),11.569155410086545,2025.12,,2,"코리아밸류업,코스피",3.28,조선·방산·우주,방산,한화에어로스페이스,0.314894382943081,통과,,비지배괴리,2026-08-26
012330,현대모비스,464000.0,416767.5144,자동차부품,41452.0,37898.0,10.997084658821045,10.05421968541928,10.89,1.5810193844531995,0.7808707516492077,1.5303617227894675,0.9104535065702223,3.2065530181084507,0.552637891489147,,,5.830031013094417,8.09,6.359327269663151,12.875651526433352,1.74,2026.12(E),5.493462656725258,2025.12,,2,"K신재생에너지,코리아밸류업",2.99,자동차,부품,현대모비스,0.7808707516492077,탈락,"PEG매출>1,ROE<10,이익률<10",,2026-08-26
039490,키움증권,278500.0,73045.86006,증권,18283.0,23068.0,3.166545,3.995288522671334,3.97,0.031593884775154735,0.07263362300805618,0.046783965751945766,0.08891857742847895,0.06708075630699109,0.06674760878431213,,,5.9494395642373386,25.18,126.4576531536004,55.006047574250786,3.97,2026.12(E),8.691893912403557,2025.12,,2,"Korea플러스배당,코리아밸류업",2.9,금융,증권,키움증권,0.07263362300805618,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
290650,엘앤씨바이오,50700.0,13673.639928,건강관리장비와용품,258.0,370.0,36.95578358918919,52.99860437209303,59.39,0.593889996568015,,1.061939248942688,0.2547854825942253,1.5183267479205618,0.8039518620994982,,,22.867737948084056,10.62,89.23976608187134,740.9090909090909,0.08,2026.12(E),5.146198830409357,2025.12,기저효과→PEG(영익)fwd 기준,2,"K컬처,코스닥",2.64,바이오·헬스케어,미용의료·의료기기,엘앤씨바이오,0.2547854825942253,탈락,fPER>30,기저효과(2y),2026-08-26
032830,삼성생명,309500.0,619000.0,생명보험,33084.0,34544.0,17.91917554423344,18.709950429210494,18.02,,0.5524777100649693,,1.0659124317089417,,1.4467952801356194,,,,3.19,,33.86552993605891,3.36,2026.12(E),6.948352509404039,2025.12,,2,"Korea플러스배당,코스피",2.44,금융,보험,삼성생명,0.5524777100649693,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
078600,대주전자재료,86100.0,13521.262818,전자장비와기기,172.0,396.0,34.14460307575757,78.61199312790697,81.34,1.4524392924793266,0.8609884961627905,2.328152359944364,4.8955974246588845,2.7597682131860686,0.9190225858020057,,,10.091743119266056,6.4,54.124116260801244,91.30434782608697,0.16,2026.12(E),8.130400628436764,2025.12,,2,"K신재생에너지,코스닥",2.07,2차전지·에너지,소재,대주전자재료,0.8609884961627905,탈락,"PEG매출>1,ROE<10,fPER>30",,2026-08-26
034020,두산에너빌리티,85800.0,549601.463268,기계,5281.0,11315.0,48.57282043906319,104.07147571823519,162.82,13.707364880349653,2.152259070778145,16.442908011189598,19.102367741942682,72.99813960298549,,,,6.165204598703209,3.95,7.592376552799585,48.35452995935492,,2026.12(E),4.471242063794488,2025.12,,2,"K신재생에너지,코스피",1.94,로봇·산업재,로봇,두산에너빌리티,2.152259070778145,탈락,"PEG매출>1,PEG영익>1,ROE<10,이익률<10,fPER>30,전년이익률<5",비지배괴리,2026-08-26
006800,미래에셋증권,36300.0,197116.641513,증권,35501.0,47798.0,4.1239516614293485,5.552425044731135,7.19,0.05586286529517164,0.03711889273977937,0.08952357140463632,0.05520641488561992,0.131941321325251,0.05078013413764596,,,8.186201049864271,23.39,99.39384625892156,149.584878074252,1.28,2026.12(E),6.539971997404638,2025.12,,2,"Korea플러스배당,코리아밸류업",1.88,금융,증권,미래에셋증권,0.03711889273977937,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
028300,HLB,36500.0,48617.351395,건강관리장비와용품,,,,,,,,,,,,,,,,,,,2026.12(E),-123.75296912114013,2025.12,기저효과→PEG(영익)fwd 기준,2,"K바이오,코스닥",1.76,바이오·헬스케어,신약·플랫폼,HLB,,보류,컨센서스 없음,기저효과(2y),2026-08-26
476830,알지노믹스,31500.0,8837.0,생물공학,,,,,,,,,,,,,,,,,,,2026.12(E),-184.81012658227849,2025.12,기저효과→PEG(영익)fwd 기준,2,"K바이오,코스닥",1.67,바이오·헬스케어,신약·플랫폼,알지노믹스,,보류,컨센서스 없음,기저효과(2y),2026-08-26
006260,LS,293500.0,91572.0,전기장비,10382.0,19999.0,4.578828941447072,8.820265844731265,14.15,0.3058380543036659,0.09800709203171254,0.3992028733588404,0.24146008866899066,0.4688027026097538,0.28911401125670244,,,4.870534714036609,12.34,28.839661123313466,89.99619988599659,1.25,2026.12(E),3.30279259491685,2025.12,,2,"K신재생에너지,코스피",1.54,AI·전력인프라,전선·케이블,LS,0.09800709203171254,탈락,"이익률<10,전년이익률<5",비지배괴리,2026-08-26
192820,코스맥스,288000.0,32686.58592,화장품,1768.0,2567.0,12.73337978963771,18.487887963800905,19.37,0.7783212644360413,0.594405330593139,1.0832175787782445,0.8813955637267721,0.9916037638487282,0.6076345537978276,,,8.64717375193694,27.17,23.753543438385847,31.103166496424926,2.02,2026.12(E),8.162414540603635,2025.12,,2,"코리아밸류업,코스피",1.38,화장품·뷰티,ODM,코스맥스,0.594405330593139,탈락,이익률<10,,2026-08-26
079550,LIG디펜스앤에어로스페이스,710000.0,156200.0,우주항공과국방,3472.0,4475.0,34.90502793296089,44.98847926267281,43.88,2.39595500601466,1.1217267975408034,1.8027255778419284,1.0832220046920578,1.4812733662864377,1.327072055919328,,,8.74775197435296,22.68,18.77684645568738,40.10644959298686,0.7,2026.12(E),7.416006872692655,2025.12,,2,"코리아밸류업,코스피",1.32,조선·방산·우주,방산,LIG디펜스앤에어로스페이스,1.1217267975408034,탈락,"PEG매출>1,PEG영익>1,이익률<10,fPER>30",,2026-08-26
000810,삼성화재,680000.0,303602.8164,손해보험,23751.0,31986.0,9.491740649033952,12.782738259441707,13.2,,0.6300385413472,,1.294755674282058,,1.1936795470599333,,,,8.27,,20.288819525403333,3.92,2026.12(E),10.731480920959703,2025.12,,2,"Korea플러스배당,코스피",1.29,금융,보험,삼성화재,0.6300385413472,금융,영업이익·PEG 기준 부적합(별도 판단),,2026-08-26
329180,HD현대중공업,464500.0,487544.890125,조선,32805.0,40483.0,12.043200605809846,14.861907944673067,14.86,0.36461241810231554,0.1505924877524934,0.48409911803234956,0.10646344447134842,0.5421451980446454,0.08120953416851265,,,16.359014975794654,31.32,40.76083865169562,98.68957055214725,1.11,2026.12(E),11.58947931242392,2025.12,,2,"코리아밸류업,코스피",1.18,조선·방산·우주,조선,HD현대중공업,0.1505924877524934,통과,,,2026-08-26
000150,두산,1180000.0,191087.253,복합기업,9336.0,18125.0,10.542744993103447,20.467786311053985,48.53,1.9673358167250787,0.2900922447686992,2.0986065403127427,0.5954429396217672,4.529484177552029,2.5384358779469847,,,8.298080796982017,24.8,10.403809119444407,70.55613061070858,0.51,2026.12(E),5.371485182545579,2025.12,,2,"Korea플러스배당,코스피",1.09,반도체,기판·PCB,두산,0.2900922447686992,탈락,"PEG매출>1,이익률<10",비지배괴리,2026-08-26
